Model,Average Score,Average Time (s),Efficiency (Score/Time)
GANBLR,0.8345053364911417,1.613584781686465,0.5171747688515905
CTABGAN,0.8452193292732939,1.7164865583181381,0.4924124370082243
GANBLR++,0.8263820538057743,1.6980200161536536,0.4866739178244146
GREAT,0.5196666700842082,1.7800097912549973,0.2919459615544119
TABSYN,0.4792967468421916,2.6198357939720154,0.18294915580014834
CTGAN,0.4653884206856955,2.6306964606046677,0.17690692470796332
RLiG,0.8574668726305045,7.704207976659139,0.11129851053194664
NB,0.5821331354576772,27.75152791043123,0.020976615678117864
