Model,Average Score,Average Time (s),Efficiency (Score/Time)
GANBLR++,0.8918648840769905,1.9159252908494733,0.4655008670414074
GANBLR,0.8927368128463107,1.9700796339246962,0.4531475771199381
CTABGAN,0.8384544054389036,2.0955474853515623,0.4001123388040234
DIST_SAMPL,0.6098183690580344,3.1271101739671496,0.19501019635787242
CTGAN,0.5797023093467483,3.2045117484198675,0.18090191419413496
RLiG,0.889451795956061,9.36647121641371,0.0949612479881852
GREAT,0.2424331073199183,3.6363047440846756,0.06667018426172726
NB,0.5778128645377659,33.944391107559206,0.017022336995436357
