Model,Average Score,Average Time (s),Efficiency (Score/Time)
GANBLR++,0.8430267017404075,1.6718810569672358,0.5042384434151337
GANBLR,0.8439572494844393,1.7118883927663169,0.49299782220069327
TABSYN,0.6069536718066492,2.5340508733476916,0.23951913443821787
CTGAN,0.5450190308242719,2.5311686311449324,0.21532308204125522
RLiG,0.8556752671541057,10.003783492814927,0.08553516454736171
GREAT,0.2493423673603299,3.0503296681812833,0.08174276045021613
NB,0.5946949502405949,25.805389165878296,0.023045378095942166
