Model,Average Score
RLiG,0.8556752671541057
GANBLR,0.8439572494844393
GANBLR++,0.8430267017404075
TABSYN,0.6069536718066492
NB,0.5946949502405949
CTGAN,0.5450190308242719
GREAT,0.24934236736032997
