,HC,TS,NB,RLiG
Rice,-16082.728826438986,-17059.40236505241,2523.945383819128,-23360.01367953733
TicTacToe,-8613.41241870489,-8614.806726200828,1122.2278507759197,-8672.142588795723
car,-13182.516965047886,-13185.654922645364,4528.50989645034,-13185.653655753435
