,HC,GANBLR++,TS,GANBLR,CTGAN,NB,RLiG
Rice,0.06780505180358887,0.06780505180358887,0.23520231246948242,0.23520231246948242,6.584546407063802,0.0005843639373779297,4.165052096048991
TicTacToe,0.08948953946431477,0.08948953946431477,0.04819369316101074,0.04819369316101074,1.5461650689442952,0.00043543179829915363,4.0178665320078535
car,0.02971808115641276,0.02971808115641276,0.04774761199951172,0.04774761199951172,2.121610244115194,0.0005551179250081381,3.510795513788859
