,GANBLR++-LR,GANBLR++-MLP,GANBLR++-RF,GANBLR++-AVG,GANBLR-LR,GANBLR-MLP,GANBLR-RF,GANBLR-AVG,CTGAN-LR,CTGAN-MLP,CTGAN-RF,CTGAN-AVG,NB-LR,NB-MLP,NB-RF,NB-AVG,RLiG-LR,RLiG-MLP,RLiG-RF,RLiG-AVG
Rice,0.8451443569553806,0.863517060367454,0.8442694663167104,0.8509769612131817,0.8595800524934383,0.8678915135608049,0.8412073490813649,0.8562263050452027,0.6377952755905512,0.5708661417322834,0.48118985126859143,0.563283756197142,0.5721784776902887,0.5721784776902887,0.5721784776902887,0.5721784776902887,0.8709536307961505,0.8713910761154855,0.8700787401574802,0.8708078156897056
TicTacToe,0.6770833333333334,0.65625,0.654513888888889,0.6626157407407408,0.6979166666666666,0.6336805555555555,0.6857638888888888,0.6724537037037037,0.609375,0.6354166666666666,0.6128472222222222,0.6192129629629629,0.6510416666666666,0.6510416666666666,0.6510416666666666,0.6510416666666666,0.701388888888889,0.7430555555555557,0.7586805555555555,0.734375
car,0.8439306358381503,0.7764932562620425,0.8526011560693642,0.8243416827231855,0.815028901734104,0.7504816955684007,0.7803468208092484,0.7819524727039178,0.6994219653179191,0.6926782273603083,0.6213872832369943,0.6711624919717405,0.6994219653179191,0.6984585741811177,0.6994219653179191,0.6991008349389852,0.8429672447013488,0.8429672447013488,0.8131021194605009,0.8330122029543996
